date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:12:54	24068/24068	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2000:12:53%20GMT	https://www.musicca.com/ko/piano	C:/My%20Web%20Sites/piano2/www.musicca.com/ko/piano.html	(from )
09:12:55	487/487	---M-Z	200	added ('OK')	text/plain	date:Fri,%2010%20May%202024%2008:59:53%20GMT	https://www.musicca.com/robots.txt		(from )
09:12:55	11239/11239	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Nov%202021%2013:51:39%20GMT	https://www.musicca.com/images/facebook-image.png	C:/My%20Web%20Sites/piano2/www.musicca.com/images/facebook-image.png	(from https://www.musicca.com/ko/piano)
09:12:55	3964/3964	---M-Z	200	added ('OK')	text/css	date:Sat,%2027%20May%202023%2013:34:02%20GMT	https://www.musicca.com/media/vendor/joomla-custom-elements/css/joomla-alert.min.css?0.2.0	C:/My%20Web%20Sites/piano2/www.musicca.com/media/vendor/joomla-custom-elements/css/joomla-alert.min44b7.css	(from https://www.musicca.com/ko/piano)
09:12:55	1768/1768	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Feb%202024%2015:44:25%20GMT	https://www.musicca.com/modules/mod_ads/css/min/style.min.css?v=202402141905	C:/My%20Web%20Sites/piano2/www.musicca.com/modules/mod_ads/css/min/style.min5034.css	(from https://www.musicca.com/ko/piano)
09:12:56	87532/87532	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2004%20Dec%202023%2020:08:19%20GMT	https://www.musicca.com/media/vendor/jquery/js/jquery.min.js?3.6.0	C:/My%20Web%20Sites/piano2/www.musicca.com/media/vendor/jquery/js/jquery.min84e3.js	(from https://www.musicca.com/ko/piano)
09:12:56	13204/13204	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2024%20Oct%202023%2018:13:19%20GMT	https://www.musicca.com/media/merged_joomla_script.min.js?20231024	C:/My%20Web%20Sites/piano2/www.musicca.com/media/merged_joomla_script.min9aa9.js	(from https://www.musicca.com/ko/piano)
09:12:56	1700/1700	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2014%20Feb%202024%2015:43:31%20GMT	https://www.musicca.com/modules/mod_ads/js/min/width_test.min.js?v=202402141905	C:/My%20Web%20Sites/piano2/www.musicca.com/modules/mod_ads/js/min/width_test.min5034.js	(from https://www.musicca.com/ko/piano)
09:12:56	83590/83590	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jun%202024%2006:50:07%20GMT	https://www.musicca.com/templates/musicca/css/screen.min.css?v=?v=20240604065007	C:/My%20Web%20Sites/piano2/www.musicca.com/templates/musicca/css/screen.min9b90.css	(from https://www.musicca.com/ko/piano)
09:12:56	817/817	---M--	200	added ('OK')	image/png	date:Sat,%2027%20May%202023%2013:34:10%20GMT	https://www.musicca.com/templates/musicca/images/favicon.png	C:/My%20Web%20Sites/piano2/www.musicca.com/templates/musicca/images/favicon.png	(from https://www.musicca.com/ko/piano)
09:12:57	60772/60772	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2007%20Dec%202023%2021:55:00%20GMT	https://www.musicca.com/templates/musicca/js/app.min.js?v=?v=20231207215500	C:/My%20Web%20Sites/piano2/www.musicca.com/templates/musicca/js/app.minc683.js	(from https://www.musicca.com/ko/piano)
09:12:57	4099/4099	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Nov%202021%2013:52:05%20GMT	https://www.musicca.com/images/musicca-logo.png	C:/My%20Web%20Sites/piano2/www.musicca.com/images/musicca-logo.png	(from https://www.musicca.com/ko/piano)
09:12:58	22278/22278	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2000:12:56%20GMT	https://www.musicca.com/ko/exercises	C:/My%20Web%20Sites/piano2/www.musicca.com/ko/exercises.html	(from https://www.musicca.com/ko/piano)
09:12:58	24030/24030	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2000:12:57%20GMT	https://www.musicca.com/ko/tools	C:/My%20Web%20Sites/piano2/www.musicca.com/ko/tools.html	(from https://www.musicca.com/ko/piano)
09:12:58	20350/20350	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2000:12:57%20GMT	https://www.musicca.com/ko/dictionary	C:/My%20Web%20Sites/piano2/www.musicca.com/ko/dictionary.html	(from https://www.musicca.com/ko/piano)
09:12:59	19213/19213	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2000:12:58%20GMT	https://www.musicca.com/ko/about	C:/My%20Web%20Sites/piano2/www.musicca.com/ko/about.html	(from https://www.musicca.com/ko/piano)
09:13:00	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2028%20Jun%202024%2000:12:59%20GMT	https://www.musicca.com/templates/musicca/css/advanced_tpl_style2.css?v=1719533573	C:/My%20Web%20Sites/piano2/www.musicca.com/templates/musicca/css/advanced_tpl_style25e5a.css	(from https://www.musicca.com/ko/piano)
09:13:00	21025/21025	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2000:12:59%20GMT	https://www.musicca.com/ko/signup	C:/My%20Web%20Sites/piano2/www.musicca.com/ko/signup.html	(from https://www.musicca.com/ko/piano)
09:13:01	18261/18261	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2000:12:59%20GMT	https://www.musicca.com/ko/login	C:/My%20Web%20Sites/piano2/www.musicca.com/ko/login.html	(from https://www.musicca.com/ko/piano)
09:13:01	29666/29666	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2000:13:00%20GMT	https://www.musicca.com/ko/exercises/notes	C:/My%20Web%20Sites/piano2/www.musicca.com/ko/exercises/notes.html	(from https://www.musicca.com/ko/piano)
09:13:02	59643/59643	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2000:13:01%20GMT	https://www.musicca.com/ko/exercises/rhythms	C:/My%20Web%20Sites/piano2/www.musicca.com/ko/exercises/rhythms.html	(from https://www.musicca.com/ko/piano)
09:13:03	37234/37234	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2000:13:02%20GMT	https://www.musicca.com/ko/exercises/intervals	C:/My%20Web%20Sites/piano2/www.musicca.com/ko/exercises/intervals.html	(from https://www.musicca.com/ko/piano)
09:13:03	38428/38428	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jun%202024%2000:13:02%20GMT	https://www.musicca.com/ko/exercises/chords	C:/My%20Web%20Sites/piano2/www.musicca.com/ko/exercises/chords.html	(from https://www.musicca.com/ko/piano)
